Genus,n,Mass.g_Mean,Diet.Plant_Mean,HYP_Mean,LOP_Mean,FCT_AL_Mean,FCT_OL_Mean,FCT_SF_Mean,BUN_Mean,Mass.g_Mode,Diet.Plant_Mode,HYP_Mode,LOP_Mode,FCT_AL_Mode,FCT_OL_Mode,FCT_SF_Mode,BUN_Mode,Order,ConsInGenhyp,ConsInGen_bun,
Addax,1,70000.3,100,3,2,0,1,1,0,70000.3,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Aepyceros,1,52500.1,100,3,2,0,1,0,0,52500.1,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Alcelaphus,1,171001.5,100,3,2,0,1,0,0,171001.5,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Alces,1,356998,100,1,2,1,1,0,0,356998,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Allochrocebus,3,5708.333333,90,1,0,0,0,0,1,5375,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Alouatta,12,6536.241667,100,1,1,0,0,0,1,5390,100,1,1,0,0,0,1,Primates,TRUE,TRUE,
Ammodorcas,1,28049.8,100,1,2,0,1,0,0,28049.8,100,1,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ammotragus,1,48000,100,3,2,0,1,0,0,48000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Antidorcas,1,31500,100,3,2,0,1,0,0,31500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Antilocapra,1,46082.9,100,3,2,0,1,0,0,46082.9,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Antilope,1,37500,100,3,2,0,1,0,0,37500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Arabitragus,1,23000,100,3,2,0,1,0,0,23000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ateles,7,6851.428571,81.42857143,1,0,0,0,0,1,6000,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Axis,4,48950.15,100,2,2,0,1,1,0,66172.8,100,2,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Babyrousa,3,99363.43333,86.66666667,1,0,0,0,0,1,1.00E+05,80,1,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Beatragus,1,80000,100,3,2,0,1,0,0,80000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Bison,2,539627.65,100,3,2,0,1,1,0,579255.3,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Blastocerus,1,86666.2,100,1,2,1,1,0,0,86666.2,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Bos,4,717812.5,100,3,2,0,1,1,0,825000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Boselaphus,1,169000,100,3,2,0,1,1,0,169000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Brachyteles,2,11182.45,100,1,0,0,0,0,1,13499.9,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Bubalus,4,278250,100,3,2,0,1,1,0,725000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Budorcas,1,302000,100,3,2,0,1,0,0,302000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Cacajao,2,4448,80,1,0,0,0,0,1,5796,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Camelus,1,690000,100,3,2,0,1,0,0,690000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Capra,9,67476.81111,100,3,2,0,1,0,0,50000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Capreolus,2,33126.1,100,1,2,1,1,0,0,22500,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Capricornis,6,79276.66667,100,2.833333333,2,0.166666667,1,0,0,87500,100,3,2,0,1,0,0,Cetartiodactyla,FALSE,TRUE,
Catagonus,1,35566.4,100,1,0,0,1,0,0,35566.4,100,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Cebus,9,2547.655556,73.55555556,1,0,0,0,0,1,2175,72,1,0,0,0,0,1,Primates,TRUE,TRUE,
Cephalophus,15,25733.38,90.66666667,2,2,0.2,1,0.733333333,0,20000,90,2,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Ceratotherium,1,2949986.3,100,3,2,0,1,0,0,2949986.3,100,3,2,0,1,0,0,Perissodactyla,TRUE,TRUE,
Cercocebus,7,7994.171429,83.85714286,1,0,0,0,0,1,8023.4,70,1,0,0,0,0,1,Primates,TRUE,TRUE,
Cercopithecus,17,4168.817647,70.58823529,1,0,0.176470588,0.058823529,0,0.823529412,3550,70,1,0,0,0,0,1,Primates,TRUE,FALSE,
Cervus,4,110125,100,2,2,0.5,1,0.25,0,131250,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Chiropotes,4,2964.675,92.5,1,0,0,0,0,1,2900,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Chlorocebus,6,4087.5,73.33333333,1,0,0.166666667,0,0,0.833333333,3975,60,1,0,0,0,0,1,Primates,TRUE,FALSE,
Choeropsis,1,235001.2,100,1,0,0,1,1,0,235001.2,100,1,0,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Colobus,5,12709.76,100,1,0,1,0,0,0,14462.2,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Connochaetes,2,179999,100,3,2,0,1,0,0,179999,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Dama,2,64375,100,1,2,1,1,0,0,56250,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Damaliscus,2,119000.15,100,3,2,0,1,0,0,136000.3,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Daubentonia,1,2500,60,1,0,0,0,0,1,2500,60,1,0,0,0,0,1,Primates,TRUE,TRUE,
Dicerorhinus,1,1266667,100,1,1,1,1,0,0,1266667,100,2,1,1,1,0,0,Perissodactyla,TRUE,TRUE,"Scored as HYP 2 in Liu fossil genus data, changed to this for Mode"
Diceros,1,1180510.9,100,2,1,1,1,0,0,1180510.9,100,2,1,1,1,0,0,Perissodactyla,TRUE,TRUE,
Dorcatragus,1,10249.9,100,3,2,1,1,0,0,10249.9,100,3,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Elaphodus,1,33500,100,1,2,1,1,0,0,33500,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Elaphurus,1,149000,100,1,2,0,1,1,0,149000,100,1,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Elephas,1,3160000,100,3,0,0,1,0,0,3160000,100,3,0,0,1,0,0,Proboscidea,TRUE,TRUE,
Equus,7,241428.5714,100,3,2,0,1,0,0,2.00E+05,100,3,2,0,1,0,0,Perissodactyla,TRUE,TRUE,
Erythrocebus,1,8090,100,1,0,0,0,0,1,8090,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Eudorcas,4,28124.9,100,3,2,0.5,1,0,0,25000,100,3,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Eulemur,12,2024.166667,98.33333333,1,0,1,1,0,0,2375,100,1,0,1,1,0,0,Primates,TRUE,TRUE,
Gazella,8,22570.8375,100,2.75,2,0,1,0,0,18916.7,100,3,2,0,1,0,0,Cetartiodactyla,FALSE,TRUE,
Giraffa,1,899994.8,100,1,2,1,1,0,0,899994.8,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Gorilla,2,125475,100,1,0,0,0,0,1,130000,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Hemitragus,1,35200,100,3,2,0,1,0,0,35200,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Hippocamelus,2,69299.85,100,1,2,1,1,0,0,68599.4,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Hippopotamus,1,1417490,100,2,0,0,1,1,0,1417490,100,2,0,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Hippotragus,2,248748.5,100,3,2,0,1,1,0,269997.7,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Hoolock,2,6850,90,1,0,0,0,0,1,6500,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Hydropotes,1,14000,100,1,2,1,1,0,0,14000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Hyemoschus,1,10850,100,1,2,1,1,0,0,10850,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Hylobates,7,5704.571429,91.42857143,1,0,0,0,0,1,5650,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Hylochoerus,1,188500,100,2,0,0,1,1,0,188500,100,2,0,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Indri,1,8000,100,1,1,0,0,0,1,8000,100,1,1,0,0,0,1,Primates,TRUE,TRUE,
Kobus,5,111650.1,100,3,2,0,1,1,0,210000.3,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Lagothrix,4,5847.225,92.5,1,0,0,0,0,1,6400,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Lama,1,120000,100,3,2,0,1,0,0,120000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Lemur,1,2900,100,1,0,0,0,0,1,2900,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Litocranius,1,37999.7,100,2,2,0,1,0,0,37999.7,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Lophocebus,2,6984.8,100,1,0,0,0,0,1,6984.8,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Loxodonta,1,4400000,100,3,0,0,1,0,0,4400000,100,3,0,0,1,0,0,Proboscidea,TRUE,TRUE,
Macaca,21,7416.485714,91.9047619,1,0,0,0,0,1,12000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Madoqua,4,4637.525,100,2,2,0,1,0,0,7500,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Mandrillus,2,16624.95,80,1,0,0,0,0,1,15000,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Mazama,10,20059.93,100,1,2,1,1,0,0,16499.9,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Miopithecus,1,1278.3,90,1,0,0,0,0,1,1278.3,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Moschiola,3,2469.066667,99.66666667,1,2,1,1,0,0,3000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Moschus,7,12485.71429,100,1,2,1,1,0,0,14500,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Muntiacus,12,19575.94167,100,1,2,0.916666667,1,0,0,15000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Naemorhedus,4,26996.875,100,3,2,0,1,0,0,27487.5,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nanger,3,55999.73333,100,3,2,0,1,0,0,72999.5,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nasalis,1,9000,100,1,0,1,0,0,0,9000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Neotragus,2,3500,100,2,2,0,1,0,0,3000,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nesotragus,1,6500,100,2,2,0,1,0,0,6500,100,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nilgiritragus,1,75000,100,3,2,0,1,0,0,75000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Nomascus,6,7833.333333,95,1,0,0,0,0,1,8000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Nycticebus,1,1500,90,1,0,0,0,0,1,1500,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Odocoileus,2,54860.6,100,1,2,1,1,0,0,54212.6,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Okapia,1,230001.1,100,1,2,1,1,0,0,230001.1,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oreamnos,1,72500.3,100,3,2,0,1,0,0,72500.3,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oreonax,1,6800,90,1,0,0,0,0,1,6800,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Oreotragus,1,12999.9,100,3,2,0,1,0,0,12999.9,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Oryx,4,156675.325,100,3,2,0,1,1,0,170000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Ourebia,1,17250,100,3,2,0,1,1,0,17250,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Ovibos,1,340501.1,100,3,2,0,1,0,0,340501.1,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ovis,5,92059.1,100,3,2,0,1,0,0,180000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Ozotoceros,1,40000,100,1,2,1,1,0,0,40000,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pan,2,38250.05,94.5,1,0,0,0,0,1,34000.1,97,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pantholops,1,27500,100,3,2,0,1,0,0,27500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Papio,5,18179.1,75.2,1,0,0,0,0,1,19484,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pecari,1,21266.7,99,1,0,0,1,0,0,21266.7,99,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pelea,1,20000,100,3,2,0,1,0,0,20000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Perodicticus,3,1108,83.33333333,1,0,0,0,0,1,1210,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Phacochoerus,2,76750.15,90,3,0,0,0,0,1,71000.3,90,3,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Philantomba,3,9083.333333,90.33333333,1,2,0,1,1,0,12000,90,1,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Piliocolobus,13,8662.776923,100,1,0,1,0,0,0,7750.1,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Pithecia,6,2017.333333,70.33333333,1,0,0,0,0,1,2250,70,1,0,0,0,0,1,Primates,TRUE,TRUE,
Pongo,2,56950,80,1,0,0,0,0,1,56750,80,1,0,0,0,0,1,Primates,TRUE,TRUE,
Porcula,1,7718,70,1,0,0,0,0,1,7718,70,1,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Potamochoerus,2,83750.15,80,1,0,0,1,0,0,97500,80,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Presbytis,11,6405.454545,100,1,0,0.636363636,0,0,0.363636364,7000,100,1,0,1,0,0,0,Primates,TRUE,FALSE,
Procapra,3,25083.33333,100,3,2,0,1,0,0,27750,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Procolobus,1,4000,100,1,0,1,0,0,0,4000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Prolemur,1,2350,100,1,0,0,0,0,1,2350,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Propithecus,9,4405.555556,100,1,1,1,0,0,0,5750,100,1,1,1,0,0,0,Primates,TRUE,TRUE,
Pseudois,1,45000,100,3,2,0,1,0,0,45000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pseudoryx,1,85000,100,1,2,0,1,0,0,85000,100,1,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pudu,2,9674.95,100,1,2,1,1,0,0,9600,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Pygathrix,3,8310,100,1,0,0.333333333,0,0,0.666666667,8310,100,1,0,0,0,0,1,Primates,TRUE,FALSE,
Rangifer,1,86034,100,1,2,0,1,0,0,86034,100,1,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Raphicerus,3,10083.26667,100,3,2,0,1,0,0,10500,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Redunca,3,43850.2,100,3,2,0,1,1,0,58000.3,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Rhinoceros,2,1676166.5,100,1.5,1,1,1,0,0,1750000,100,2,1,1,1,0,0,Perissodactyla,FALSE,TRUE,"Scored as HYP 2 in Liu fossil genus data, changed to this for Mode"
Rhinopithecus,5,10567,100,1,0,1,0,0,0,8000,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Rucervus,2,108000,100,2,2,0,1,1,0,143000,100,2,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Rungwecebus,1,13000,90,1,0,0,0,0,1,13000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Rupicapra,2,28050,100,3,2,0,1,0,0,30000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Rusa,4,85211.1,100,1.75,2,0,1,1,0,47500,100,2,2,0,1,1,0,Cetartiodactyla,FALSE,TRUE,
Saiga,1,29000,100,3,2,0,1,0,0,29000,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Sapajus,6,2895.833333,72.83333333,1,0,0,0,0,1,3200,70,1,0,0,0,0,1,Primates,TRUE,TRUE,
Semnopithecus,7,14835.71429,100,1,0,0,0,0,1,17350,100,1,0,0,0,0,1,Primates,TRUE,TRUE,
Simias,1,7980,100,1,0,1,0,0,0,7980,100,1,0,1,0,0,0,Primates,TRUE,TRUE,
Sus,8,62169.5625,72.625,1,0,0,0,0,1,56749.7,70,1,0,0,0,0,1,Cetartiodactyla,TRUE,TRUE,
Sylvicapra,1,19499.8,90,2,2,0,1,0,0,19499.8,90,2,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Symphalangus,1,10000,90,1,0,0,0,0,1,10000,90,1,0,0,0,0,1,Primates,TRUE,TRUE,
Syncerus,1,580002.7,100,3,2,0,1,1,0,580002.7,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Tapirus,4,238174.95,100,1,0,1,0,0,0,299999.1,100,1,0,1,0,0,0,Perissodactyla,TRUE,TRUE,
Tayassu,1,32233.7,100,1,0,0,1,0,0,32233.7,100,1,0,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Tetracerus,1,19000,100,3,2,0,1,1,0,19000,100,3,2,0,1,1,0,Cetartiodactyla,TRUE,TRUE,
Theropithecus,1,17049.8,100,1,0,0,1,1,0,17049.8,100,1,0,0,1,1,0,Primates,TRUE,TRUE,
Trachypithecus,16,9226.6625,100,1,0,0.5625,0,0,0.4375,7100,100,1,0,1,0,0,0,Primates,TRUE,FALSE,
Tragelaphus,9,255213.7778,100,2.111111111,2,0.444444444,1,0,0,86600.4,100,2,2,0,1,0,0,Cetartiodactyla,FALSE,TRUE,
Tragulus,6,2480.716667,99.83333333,1,2,1,1,0,0,2775,100,1,2,1,1,0,0,Cetartiodactyla,TRUE,TRUE,
Varecia,2,3400,100,1,1,1,1,0,0,3450,100,1,1,1,1,0,0,Primates,TRUE,TRUE,
Vicugna,1,47499.6,100,3,2,0,1,0,0,47499.6,100,3,2,0,1,0,0,Cetartiodactyla,TRUE,TRUE,
Anancus,,,,,,,,,,,,1,0,0,0,,1,Proboscidea,TRUE,,
Antilospira,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Arvernoceros,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Bibos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Boocercus,,,,,,,,,,,,2,2,0,1,,0,Cetartiodactyla,TRUE,,
Cervavitus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Cervavitus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Coelodonta,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Croizetoceros,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Dicoryphochoerus,,,,,,,,,,,,1,0,0,0,,1,Cetartiodactyla,TRUE,,
Dorcabune,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Duboisia,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Elasmotherium,,,,,,,,,,,,3,1,0,1,,0,Perissodactyla,TRUE,,
Eucladoceros,,,,,,,,,,,,1,2,0,1,,0,Cetartiodactyla,TRUE,,
Gallogoral,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Gazellospira,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Gigantopithecus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Hemibos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Hesperotherium,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Hipparion,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Homo,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Leptobos,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Libralces,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Mammuthus,,,,,,,,,,,,3,0,0,1,,0,Proboscidea,TRUE,,
Megatapirus,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Metacervocerus,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,FALSE,,
Nestoritherium,,,,,,,,,,,,1,1,1,0,,0,Perissodactyla,TRUE,,
Nipponicervus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Palaeoloxodon,,,,,,,,,,,,3,0,1,0,,0,Proboscidea,TRUE,,
Palaeotragus,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Paracamelus,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Paradolichopithecus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Pliotragus,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Poephagus,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Pontoceros,,,,,,,,,,,,3,2,1,0,,0,Cetartiodactyla,TRUE,,
Praeovibos,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Proboscidipparion,,,,,,,,,,,,3,2,0,1,,0,Perissodactyla,TRUE,,
Procamptoceras,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Procapreolus,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Procynocephalus,,,,,,,,,,,,1,0,0,0,,1,Primates,TRUE,,
Pseudaxis,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,FALSE,,
Pseudodama,,,,,,,,,,,,1,2,1,0,,0,Cetartiodactyla,TRUE,,
Sinomastodon,,,,,,,,,,,,1,0,0,0,,1,Proboscidea,TRUE,,
Sivacapra,,,,,,,,,,,,3,2,0,1,,0,Cetartiodactyla,TRUE,,
Sivatherium,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
Stegodon,,,,,,,,,,,,1,0,1,0,,0,Proboscidea,TRUE,,
Stephanorhinus,,,,,,,,,,,,2,1,1,0,,0,Tetraceros,TRUE,,
Tetraceros,,,,,,,,,,,,2,2,1,0,,0,Cetartiodactyla,TRUE,,
